entry_time,exit_time,p0,avg_entry,exit_price,qty,cost_quote,proceeds,pnl,pnl_pct,fills,hold_bars,max_dd_from_p0,reason
2021-01-10 17:58:00+00:00,2021-01-10 20:14:00+00:00,1302.01,1276.5069450990493,1236.9095,5.468845263461611,6988.006967448235,6757.702193745264,-230.30477370297103,-0.032957147120170935,6,137,0.05575994039984325,stop_loss
2021-01-10 20:15:00+00:00,2021-01-10 20:17:00+00:00,1229.41,1229.41,1244.16292,0.39774703635877673,489.48366763748123,494.36725206330436,4.8835844258231305,0.009977011999999936,1,3,0.0035789525056735268,take_profit
2021-01-10 20:18:00+00:00,2021-01-10 20:28:00+00:00,1241.24,1216.9272743947772,1179.1779999999999,5.607537859724045,6830.796560259764,6605.672993075325,-225.1235671844388,-0.03295714712017096,6,11,0.057394218684541275,stop_loss
2021-01-10 20:29:00+00:00,2021-01-10 20:29:00+00:00,1180.47,1175.0091024880164,1189.1092117178725,1.3228519328032113,1555.9189812689083,1571.4424036160556,15.523422347147289,0.009977011999999752,2,1,0.007810448380729733,take_profit
2021-01-10 20:30:00+00:00,2021-01-10 20:30:00+00:00,1196.49,1180.3045195530449,1194.4681737876815,4.516029747819346,5335.625947734906,5388.859551842968,53.233604108062536,0.009977012000000002,4,1,0.020050313834632974,take_profit
2021-01-10 20:31:00+00:00,2021-01-10 20:31:00+00:00,1203.21,1203.21,1217.64852,0.4001193559748412,481.909519822311,486.71753688449246,4.808017062181477,0.009977012000000089,1,1,0.00013297761820470395,take_profit
2021-01-10 20:32:00+00:00,2021-01-10 20:33:00+00:00,1219.0,1219.0,1233.628,0.3951335281006929,482.14992067542005,486.9603362197978,4.810415544377747,0.00997701200000007,1,2,0.005849056603773674,take_profit
2021-01-10 20:34:00+00:00,2021-01-10 20:35:00+00:00,1230.4,1224.7081244769079,1239.4046219706308,1.2795649484013776,1568.662250353396,1584.3128124491188,15.650562095722762,0.009977011999999952,2,2,0.007834850455136622,take_profit
2021-01-10 20:36:00+00:00,2021-01-10 20:42:00+00:00,1239.75,1221.4649447393524,1236.1225240762246,4.844526552853711,5923.342700870654,5982.439962077354,59.09726120669984,0.009977012000000155,5,7,0.02706997378503726,take_profit
2021-01-10 20:43:00+00:00,2021-01-10 20:47:00+00:00,1238.27,1238.27,1253.12924,0.3921937095989908,486.1278326177601,490.97793583732147,4.85010321956139,0.009977012000000014,1,5,0.005628820854902426,take_profit
2021-01-10 20:48:00+00:00,2021-01-10 20:58:00+00:00,1252.37,1240.9966049719292,1255.8885642315922,2.595680547555926,3224.4552023108927,3256.6256305578113,32.17042824691862,0.009977012000000129,3,11,0.014652219392032635,take_profit
2021-01-10 20:59:00+00:00,2021-01-10 21:01:00+00:00,1256.71,1256.71,1271.79052,0.3879104012317026,487.9788591910841,492.84743012497984,4.8685709338957395,0.009977011999999966,1,3,0.0015914570585099188,take_profit
2021-01-10 21:02:00+00:00,2021-01-10 22:06:00+00:00,1270.87,1259.32859726812,1274.4405404353374,2.5676350229017117,3236.7329446319413,3269.0258680613297,32.29292342938834,0.009977012000000039,3,65,0.013589116117305455,take_profit
2021-01-10 22:07:00+00:00,2021-01-11 00:45:00+00:00,1274.2,1255.4068421753443,1210.49,4.778556821620914,6005.037967554117,5778.610851756897,-226.4271157972198,-0.03770619220405108,5,159,0.052958719196358514,stop_loss
2021-01-11 00:46:00+00:00,2021-01-11 00:55:00+00:00,1220.44,1209.356577187206,1223.8688561134525,2.620574224068667,3172.381054939641,3204.031938793347,31.650883853705636,0.009977012000000056,3,10,0.014224378093146837,take_profit
2021-01-11 00:56:00+00:00,2021-01-11 01:04:00+00:00,1226.19,1215.054358576563,1229.6350108794816,2.616911615211903,3182.8727368096656,3214.628296299288,31.755559489622556,0.0099770119999999,3,9,0.017640006850488187,take_profit
2021-01-11 01:05:00+00:00,2021-01-11 03:11:00+00:00,1229.48,1205.3976227988871,1168.0059999999999,5.568210476629365,6718.626298070965,6497.199542719992,-221.4267553509735,-0.03295714712017083,6,127,0.05586914793245929,stop_loss
2021-01-11 03:12:00+00:00,2021-01-11 03:21:00+00:00,1161.31,1144.1818551927868,1103.2444999999998,5.037325597336205,5769.3859331033555,5551.844358210412,-217.54157489294357,-0.03770619220405105,5,10,0.05038275740327733,stop_loss
2021-01-11 03:22:00+00:00,2021-01-11 03:23:00+00:00,1106.66,1096.609869973119,1109.7691884127964,2.7765948842975563,3047.8892442818524,3078.298071846724,30.408827564871444,0.009977012000000155,3,2,0.01668082337845412,take_profit
2021-01-11 03:24:00+00:00,2021-01-11 03:24:00+00:00,1116.41,1116.41,1129.80692,0.41274860241976397,461.25792515260133,465.8599010069439,4.601975854342584,0.009977011999999954,1,1,0.001979559480835926,take_profit
2021-01-11 03:25:00+00:00,2021-01-11 03:26:00+00:00,1130.0,1114.713960914793,1128.0905284457706,4.604555320821858,5137.899999924544,5189.160889878591,51.260889954046434,0.009977011999999855,4,2,0.02030088495575226,take_profit
2021-01-11 03:27:00+00:00,2021-01-11 03:29:00+00:00,1115.06,1099.976061289955,1113.1757740254345,4.692164652550969,5166.43522866563,5217.98081493925,51.54558627361985,0.009977012000000021,4,3,0.021577314225243435,take_profit
2021-01-11 03:30:00+00:00,2021-01-11 03:36:00+00:00,1110.17,1093.7961183313466,1054.6615,5.224737297198129,5720.517892869195,5504.818945693955,-215.69894717523948,-0.03770619220405114,5,7,0.05329814352756791,stop_loss
2021-01-11 03:37:00+00:00,2021-01-11 03:37:00+00:00,1062.86,1047.1838928539369,1059.7500995681842,5.331168826001276,5588.302427100669,5644.056987475483,55.75456037481399,0.009977012000000268,5,1,0.04371224808535454,take_profit
2021-01-11 03:38:00+00:00,2021-01-11 03:38:00+00:00,1024.19,1019.4520594993533,1031.6854842133455,1.461480282364738,1491.4004842586871,1506.2802047869418,14.879720528254666,0.009977011999999955,2,1,0.012966344135365591,take_profit
2021-01-11 03:39:00+00:00,2021-01-11 03:39:00+00:00,1029.94,1029.94,1042.29928,0.4455752173220286,459.37511444309325,463.9583054723933,4.583191029300053,0.009977011999999867,1,1,0.006039186748742671,take_profit
2021-01-11 03:40:00+00:00,2021-01-11 03:40:00+00:00,1047.56,1047.56,1060.1307199999999,0.43829916159510074,459.60427399455824,464.18975135145325,4.585477356895012,0.009977012000000037,1,1,0.00020046584443853945,take_profit
2021-01-11 03:41:00+00:00,2021-01-11 03:42:00+00:00,1064.0,1048.3070790100187,1060.886763958139,5.372072337801152,5637.2186793502,5693.461277760699,56.24259841049934,0.009977011999999688,5,2,0.03195488721804511,take_profit
2021-01-11 03:43:00+00:00,2021-01-11 03:43:00+00:00,1041.04,1041.04,1053.53248,0.44396279884072193,462.64567778292803,467.2614992619165,4.615821478988494,0.00997701200000019,1,1,0.005177514792899286,take_profit
2021-01-11 03:44:00+00:00,2021-01-11 03:45:00+00:00,1046.11,1036.609754646937,1049.0490717027003,2.9573625363801765,3068.6995527918903,3099.3160050544893,30.61645226259907,0.009977011999999917,3,2,0.014883712037930942,take_profit
2021-01-11 03:46:00+00:00,2021-01-11 03:46:00+00:00,1071.64,1071.64,1084.4996800000001,0.432927927455617,464.40729147000746,469.0406885898912,4.633397119883739,0.00997701199999995,1,1,0.00120376245754189,take_profit
2021-01-11 03:47:00+00:00,2021-01-11 03:47:00+00:00,1076.94,1076.94,1089.86328,0.43101224057484694,464.63896132600166,469.2746698188187,4.635708492817059,0.00997701200000001,1,1,0.0,take_profit
2021-01-11 03:48:00+00:00,2021-01-11 03:49:00+00:00,1088.41,1083.37497542418,1096.3754751292702,1.3939579020669624,1511.6907986928297,1526.7729559316776,15.082157238847913,0.009977011999999978,2,2,0.0080576253433908,take_profit
2021-01-11 03:50:00+00:00,2021-01-11 03:53:00+00:00,1098.69,1093.6074197671765,1106.7307088043826,1.3831553035882604,1514.1430457401832,1529.2496690772498,15.106623337066594,0.009977012000000157,2,4,0.012678735585105957,take_profit
2021-01-11 03:54:00+00:00,2021-01-11 03:55:00+00:00,1105.0,1105.0,1118.26,0.42164145302593564,466.3801857794383,471.03326648952196,4.653080710083657,0.00997701199999994,1,2,0.0014479638009048952,take_profit
