tag,score,min_flat_mo,hits,all_hit,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,param_breakeven_after_bars,param_breakeven_buffer_pct,crash_2021_05_flat,crash_2021_22_flat,crash_2024_26_flat
cd_initial_pct=0.15,-174.9367743454176,-2.5919867593306165,1,False,0.15,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,7.733569019128968,-2.5919867593306165,0.15293057068622828
cd_initial_pct=0.2,-170.63144110435738,-2.3749031637814655,1,False,0.2,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,7.757394108107711,-2.3749031637814655,0.1905429615303489
"cd_dca_depths=(0.03, 0.1, 0.25, 0.5)",-251.19472292018017,-1.622485839435157,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,4.808480020791209,-1.622485839435157,-1.2222969884835755
"cd_dca_depths=(0.02, 0.08, 0.2, 0.4)",-391.7111786480987,-2.99277776005814,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,-0.5530145706563886,-2.99277776005814,-1.0017037919258442
"cd_dca_depths=(0.02, 0.06, 0.15, 0.3)",-485.8375983883521,-3.95019158736217,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.02, 0.06, 0.15, 0.3]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,-3.4485413930089526,-3.95019158736217,-1.5605358989250744
"cd_dca_depths=(0.05, 0.12, 0.22, 0.4)",-349.8707789580069,-1.6344766666311739,0,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.05, 0.12, 0.22, 0.4]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,-1.0137170946173095,-1.6344766666311739,0.0023617322430591337
"cd_dca_level_weights=(8, 4, 2, 1)",-472.7875462954007,-4.11105814608501,0,False,0.08,"[8, 4, 2, 1]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,-1.8785564114316127,-4.11105814608501,-2.2664937682190374
"cd_dca_level_weights=(1, 2, 3, 6)",-154.65416064822998,-2.5239219543232747,1,False,0.08,"[1, 2, 3, 6]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,8.324816352674176,-2.5239219543232747,0.6989005863697151
"cd_dca_level_weights=(2, 3, 4, 8)",-191.27652424052516,-3.2912096839500427,1,False,0.08,"[2, 3, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,7.535205445494405,-3.2912096839500427,0.11571547445991315
"cd_sub_order_weights=(1, 3, 5)",-128.61451371867642,-2.6825615993412026,1,False,0.08,"[1, 2, 4, 8]","[1, 3, 5]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,6.409665752412633,-2.6825615993412026,2.4115166473734138
"cd_sub_order_weights=(2, 3, 4)",-167.13679405305243,-2.618786168286566,1,False,0.08,"[1, 2, 4, 8]","[2, 3, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,0,0.001,6.83569591591644,-2.618786168286566,0.3433424835970156
cd_max_hold_bars=10080,-318.189561303683,-1.452193721736166,0,False,0.08,"[1, 2, 4, 8]","[1, 3, 5]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,10080,0,0.001,0.9924017691208616,-1.452193721736166,-0.28427977352177003
cd_max_hold_bars=20160,-264.32281657149366,-1.8919228821798355,0,False,0.08,"[1, 2, 4, 8]","[1, 3, 5]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,20160,0,0.001,3.290445845010496,-1.8919228821798355,-0.04818638668510178
cd_max_hold_bars=43200,-170.19824983681679,-3.2593021620991567,1,False,0.08,"[1, 2, 4, 8]","[1, 3, 5]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,43200,0,0.001,6.409665752412633,-3.2593021620991567,1.20829567553015
cd_breakeven_after_bars=4320,-254.99824135823843,-1.8650015639007762,0,False,0.08,"[1, 2, 4, 8]","[1, 3, 5]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,4320,0.001,3.0353448158472034,-1.8650015639007762,0.4628658138407326
cd_breakeven_after_bars=7200,-165.80812806121403,-1.0684544637593194,1,False,0.08,"[1, 2, 4, 8]","[1, 3, 5]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,7200,0.001,5.1263302037133585,-1.0684544637593194,-0.5547512456348525
cd_breakeven_after_bars=10080,-162.5359294647114,-0.9508356628364023,1,False,0.08,"[1, 2, 4, 8]","[1, 3, 5]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,0,10080,0.001,5.1263302037133585,-0.9508356628364023,-0.5259077930351069
