stage,param,value,score,param_normal_initial_pct,param_normal_dca_pct,param_normal_dca_drop,param_normal_sl_pct,param_normal_tp_pct,param_recovery_initial_pct,param_recovery_dca1_pct,param_recovery_dca1_drop,param_recovery_dca2_pct,param_recovery_dca2_drop,param_recovery_sl_pct,param_recovery_tp_pct,param_sl_ref,param_fee_rate,param_capital,param_min_equity_frac_of_peak,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,normal_cycles,recovery_cycles,normal_wins,recovery_wins,tp_exits,sl_exits
search:recovery_tp_pct,recovery_tp_pct,0.01,-92.8718628536686,0.25,0.25,0.03,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.01,p0,0.001,10000.0,0.0,4647.761992358709,-53.522380076412915,-72.02787586383712,825,87.63636363636364,0.2315760171223142,58.91711504946089,0.7836107465305953,3987.4794107936355,741.819393939394,198.0,11738.0,724,101,626,97,723,101
search:recovery_tp_pct,recovery_tp_pct,0.012,-84.78563877127397,0.25,0.25,0.03,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.012,p0,0.001,10000.0,0.0,5258.161833401759,-47.4183816659824,-72.02787586383712,782,87.46803069053708,0.24050941474297008,53.86491489259505,0.811114790652246,4036.1871282553298,782.6099744245524,230.5,11738.0,685,97,591,93,684,97
search:recovery_tp_pct,recovery_tp_pct,0.015,-100.42717423711116,0.25,0.25,0.03,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.015,p0,0.001,10000.0,0.0,4200.615523217026,-57.99384476782974,-72.02787586383712,760,87.36842105263159,0.24424034548651397,63.39293964031722,0.7526235025579486,3349.9767173505447,805.2644736842105,245.5,11738.0,665,95,578,86,664,95
search:recovery_tp_pct,recovery_tp_pct,0.02,-106.79417707510495,0.25,0.25,0.03,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.02,p0,0.001,10000.0,0.0,3831.1945809872786,-61.68805419012722,-72.02787586383712,712,87.07865168539325,0.25311754087669436,67.2908600021652,0.7542510734331246,3330.1698262871273,859.5519662921348,256.0,13687.0,621,91,542,78,620,91
search:recovery_tp_pct,recovery_tp_pct,0.025,-110.61461351383427,0.25,0.25,0.03,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.025,p0,0.001,10000.0,0.0,3624.13276500485,-63.758672349951496,-72.02787586383712,686,86.73469387755102,0.2605752677893595,69.92175599151676,0.7472912384033609,3094.8842852970497,892.1297376093295,281.0,13779.0,596,90,521,74,595,90
search:normal_dca_drop,normal_dca_drop,0.02,-107.65247455288774,0.25,0.25,0.02,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.012,p0,0.001,10000.0,0.0,3651.6277777129894,-63.48372222287011,-72.02787586383712,812,87.06896551724138,0.14003702914802837,68.23894965182508,0.7462401611686378,3688.5351095179376,753.6958128078818,205.5,15207.0,708,104,609,98,707,104
search:normal_dca_drop,normal_dca_drop,0.03,-84.78563877127397,0.25,0.25,0.03,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.012,p0,0.001,10000.0,0.0,5258.161833401759,-47.4183816659824,-72.02787586383712,782,87.46803069053708,0.24050941474297008,53.86491489259505,0.811114790652246,4036.1871282553298,782.6099744245524,230.5,11738.0,685,97,591,93,684,97
search:normal_dca_drop,normal_dca_drop,0.04,-95.88305226009193,0.25,0.25,0.04,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.012,p0,0.001,10000.0,0.0,4591.008781824207,-54.089912181757924,-72.02787586383712,771,87.02983138780804,0.2577432413988726,62.41893039445443,0.752757120203661,3348.485182148658,793.775616083009,211.0,14908.0,672,99,577,94,671,99
search:normal_dca_drop,normal_dca_drop,0.05,-81.01481887645903,0.25,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.012,p0,0.001,10000.0,0.0,5598.993091511169,-44.010069084888315,-72.02787586383712,768,86.84895833333334,0.31127112712738664,52.759464860919216,0.8091302116775696,3823.964438151507,796.8763020833334,200.5,14908.0,668,100,571,96,667,100
search:recovery_dca2_drop,recovery_dca2_drop,0.04,-79.66918551000316,0.25,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.04,0.12,0.012,p0,0.001,10000.0,0.0,5745.786092340587,-42.54213907659413,-72.02787586383712,764,86.91099476439791,0.31448826317462275,52.892801418301474,0.8157410341165158,3853.9511604286663,801.0484293193717,204.0,14908.0,665,99,569,95,664,99
search:recovery_dca2_drop,recovery_dca2_drop,0.05,-81.01481887645903,0.25,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.05,0.12,0.012,p0,0.001,10000.0,0.0,5598.993091511169,-44.010069084888315,-72.02787586383712,768,86.84895833333334,0.31127112712738664,52.759464860919216,0.8091302116775696,3823.964438151507,796.8763020833334,200.5,14908.0,668,100,571,96,667,100
search:recovery_dca2_drop,recovery_dca2_drop,0.06,-83.41481943710426,0.25,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.06,0.12,0.012,p0,0.001,10000.0,0.0,5469.14844104513,-45.30851558954869,-72.02787586383712,744,86.96236559139786,0.3154193123085949,54.27708798184948,0.7946461795424575,3588.3810115579536,822.5819892473119,216.0,14942.0,648,96,556,91,647,96
search:recovery_dca2_drop,recovery_dca2_drop,0.08,-78.25462645447,0.25,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,5834.459852283142,-41.655401477168574,-72.02787586383712,756,86.90476190476191,0.3195346471249433,51.61111309393264,0.817331378206686,3812.102793650281,809.5251322751323,210.5,14942.0,658,98,563,94,657,98
search:sl_ref,sl_ref,p0,-78.25462645447,0.25,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,5834.459852283142,-41.655401477168574,-72.02787586383712,756,86.90476190476191,0.3195346471249433,51.61111309393264,0.817331378206686,3812.102793650281,809.5251322751323,210.5,14942.0,658,98,563,94,657,98
search:sl_ref,sl_ref,wap,-88.39518159179016,0.25,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,wap,0.001,10000.0,0.0,5160.036984647935,-48.39963015352065,-72.02787586383712,626,89.45686900958466,0.264013403767086,53.920772738093866,0.7689530555653914,3102.5162423317847,977.6373801916933,206.0,14908.0,561,65,497,63,560,65
search:normal_initial_pct,normal_initial_pct,0.15,-58.14417006010761,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,7181.601088108978,-28.183989118910226,-72.02787586383712,785,87.77070063694268,0.45381601507895913,39.13051899492132,0.8465048614941304,3249.146775133222,779.6191082802547,216.0,14942.0,690,95,598,91,689,95
search:normal_initial_pct,normal_initial_pct,0.2,-84.88482484945051,0.2,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,5306.982884944127,-46.93017115055873,-72.02787586383712,754,87.40053050397879,0.3729786040400901,54.26470969663413,0.7684715225155428,3227.1010801694943,811.6724137931035,238.5,14942.0,660,94,572,87,659,94
search:normal_initial_pct,normal_initial_pct,0.25,-78.25462645447,0.25,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,5834.459852283142,-41.655401477168574,-72.02787586383712,756,86.90476190476191,0.3195346471249433,51.61111309393264,0.817331378206686,3812.102793650281,809.5251322751323,210.5,14942.0,658,98,563,94,657,98
search:normal_initial_pct,normal_initial_pct,0.3,-89.42361192318171,0.3,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,4942.927017230424,-50.57072982769576,-72.02787586383712,752,86.70212765957447,0.27240346721241143,56.00360107040454,0.7986037591633272,4067.019554333168,813.8311170212766,211.5,14942.0,653,99,558,94,652,99
search:recovery_initial_pct,recovery_initial_pct,0.4,-62.79942796880742,0.15,0.25,0.05,0.08,0.015,0.4,0.3,0.03,0.3,0.08,0.12,0.012,p0,0.001,10000.0,0.0,6777.078859406853,-32.229211405931466,-72.02787586383712,793,87.76796973518285,0.4558917803370295,40.56032383613443,0.8197937798330615,3073.9940152654317,771.7540983606557,218.0,12331.0,697,96,604,92,696,96
search:recovery_initial_pct,recovery_initial_pct,0.5,-58.14417006010761,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,7181.601088108978,-28.183989118910226,-72.02787586383712,785,87.77070063694268,0.45381601507895913,39.13051899492132,0.8465048614941304,3249.146775133222,779.6191082802547,216.0,14942.0,690,95,598,91,689,95
search:recovery_initial_pct,recovery_initial_pct,0.6,-69.03607358081898,0.15,0.25,0.05,0.08,0.015,0.6,0.2,0.03,0.2,0.08,0.12,0.012,p0,0.001,10000.0,0.0,6337.951030804315,-36.62048969195685,-72.02787586383712,754,87.79840848806366,0.43950483045837996,43.186570076574846,0.8042561678239429,3160.1815245893254,811.6724137931035,232.0,14908.0,663,91,577,85,662,91
baseline,,,-76.02890458254673,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,6171.984648171663,-38.28015351828336,-48.161876864513175,774,88.50129198966408,0.4887153774225422,45.38273899329848,0.7790161168538995,2801.5884119297352,1129.3036175710595,312.0,16850.0,686,88,604,81,685,88
search:normal_sl_pct,normal_sl_pct,0.02,-117.86884548303738,0.15,0.25,0.05,0.02,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,2815.5175556921045,-71.84482444307896,-48.161876864513175,1412,68.34277620396601,-0.06992461906750212,75.5403744689631,0.7327649901518649,4779.333982739539,619.0375354107649,193.0,18587.0,965,447,551,414,964,447
search:normal_sl_pct,normal_sl_pct,0.03,-109.54892661708936,0.15,0.25,0.05,0.03,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,3582.121229954938,-64.17878770045063,-48.161876864513175,1176,73.55442176870748,-0.08882844906424545,70.91984699427522,0.7263276737167389,3935.1054076713212,743.2661564625851,275.0,24914.0,866,310,579,286,865,310
search:normal_sl_pct,normal_sl_pct,0.04,-117.05052507365184,0.15,0.25,0.05,0.04,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,3132.0217888335114,-68.67978211166488,-48.161876864513175,1040,77.6923076923077,-0.07358608061680756,74.32915259064059,0.6729676467656448,3191.6183480557543,840.4625,328.0,25951.0,809,231,599,209,808,231
