phase,sl,ref,tp,hold_h,crash_combo,r22_ret,r25_ret,r22_avgH,r25_avgH,r22_maxH,r25_maxH,r22_dd,r25_dd,full_score,full_param_initial_pct,full_param_dca_level_weights,full_param_sub_order_weights,full_param_dca_depths,full_param_take_profit_pct,full_param_fee_rate,full_param_capital,full_param_reentry_delay_bars,full_param_stop_loss_pct,full_param_stop_loss_ref,full_param_max_hold_bars,full_equity_final,full_total_return_pct,full_buy_hold_return_pct,full_num_cycles,full_win_rate,full_avg_pnl_pct,full_max_drawdown_pct,full_profit_factor,full_total_fees,full_avg_hold_bars,full_median_hold_bars,full_max_hold_bars_seen,full_tp_exits,full_sl_exits,full_time_exits
crash_refine,0.5,p0,0.03,48,-131.82937859730794,-63.33643615558609,-55.31291529384079,25.24756600660066,28.62085789129011,48.0,48.0,71.87817831331873,60.1368659052431,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.5,p0,0.03,72,-143.80210527388942,-61.667451561106645,-56.57946679864098,32.1767087276551,35.618622656886714,72.0,72.0,70.72884389663821,63.63625635051394,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.5,p0,0.03,168,-180.5796686040916,-61.7896115291773,-53.71343482930024,51.25636515912898,60.700069444444445,168.0,168.0,69.47238764911376,65.90903222720968,,,,,,,,,,,,,,,,,,,,,,,,,,,
full,0.1,p0,0.02,48,-114.12912820827799,,,,,,,,,-114.19775604018866,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.02,0.001,10000.0,0.0,0.1,p0,2880.0,2765.9717099386035,-72.34028290061396,152.72041464275054,3673.0,85.29812142662674,0.8939612982250529,86.42302944912647,0.9599857030193835,27122.830849901133,798.7059624285325,311.0,2880.0,3052.0,211.0,409.0
full,0.0,p0,0.012,48,-114.77019366488196,,,,,,,,,-282.88511297329006,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0.0,0.0,p0,2880.0,1711.4887026709964,-82.88511297329005,152.72041464275054,4876.0,91.81706316652995,0.5970949773322828,93.46321803236616,0.9234034284764511,24464.28727386009,601.6503281378178,180.0,2880.0,4446.0,0.0,429.0
full,0.4,wap,0.012,48,-114.77019366488196,,,,,,,,,-282.7880442805444,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0.0,0.4,wap,2880.0,1721.195571945561,-82.7880442805444,152.72041464275054,5012.0,92.0391061452514,0.603287077763894,93.4261440581488,0.9274484672209107,25670.875323505745,585.3246209098164,166.5,2880.0,4582.0,1.0,428.0
full,0.5,p0,0.012,48,-114.77019366488196,,,,,,,,,-282.88511297329006,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0.0,0.5,p0,2880.0,1711.4887026709964,-82.88511297329005,152.72041464275054,4876.0,91.81706316652995,0.5970949773322828,93.46321803236616,0.9234034284764511,24464.28727386009,601.6503281378178,180.0,2880.0,4446.0,0.0,429.0
full,0.2,wap,0.012,48,-116.56822408775409,,,,,,,,,-288.0655858611359,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0.0,0.2,wap,2880.0,1193.4414138864117,-88.06558586113589,152.72041464275054,5315.0,92.4365004703669,0.6025421412704856,95.39794970535124,0.9201141687069718,24080.213232254544,551.9561618062088,145.0,2880.0,4882.0,14.0,418.0
full,0.0,p0,0.02,48,-117.20443458581785,,,,,,,,,-106.49981703914932,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.02,0.001,10000.0,0.0,0.0,p0,2880.0,3871.817227473803,-61.28182772526196,152.72041464275054,2750.0,83.81818181818181,0.8961628394163703,85.81213223881237,0.959579427069048,23684.791665040808,1066.7807272727273,572.5,2880.0,2226.0,0.0,523.0
full,0.4,wap,0.02,48,-117.20443458581785,,,,,,,,,-107.98341235414023,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.02,0.001,10000.0,0.0,0.4,wap,2880.0,3712.526335646775,-62.874736643532245,152.72041464275054,2812.0,84.17496443812233,0.9059312323312401,86.39583698932768,0.9587701640773649,23489.445040001203,1043.2599573257469,542.0,2880.0,2288.0,1.0,522.0
full,0.5,p0,0.02,48,-117.20443458581785,,,,,,,,,-106.49981703914932,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.02,0.001,10000.0,0.0,0.5,p0,2880.0,3871.817227473803,-61.28182772526196,152.72041464275054,2750.0,83.81818181818181,0.8961628394163703,85.81213223881237,0.959579427069048,23684.791665040808,1066.7807272727273,572.5,2880.0,2226.0,0.0,523.0
full,0.0,p0,0.012,0,,,,,,,,,,-685.5048098492222,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0.0,0.0,p0,0.0,17179.653688188588,71.79653688188587,152.72041464275054,481.0,99.7920997920998,0.8752285777670719,79.9378206771385,1.3037284037008645,6269.7682243098,6099.058212058212,78.0,1944007.0,480.0,0.0,0.0
