stage,score_crash,score_full,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,tp_exits,sl_exits,time_exits,window,sl,ref,max_hold
combo_sweep:full,1119.7716208781362,1122.5681040359102,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,72,123320.78254263346,1133.2078254263345,153.7360197256392,10278,84.7343841214244,0.5915114202373087,30.2015599618551,1.113934746124068,342422.6741729338,4.757540377505351,2.0,72.0,8696,1573,8,full,0.030000000000000002,p0,72.0
combo_sweep:crash_2022,51.79302395542009,52.68937070359824,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,120,16011.352627075134,60.11352627075133,-72.26310681185907,2571,84.63632827693505,0.5858943910009135,21.050509710674635,1.130877454124578,15934.756244562255,3.967716841695838,2.0,56.0,2175,395,0,crash_2022,0.030000000000000002,p0,120.0
combo_sweep:crash_2025_26,50.95346599896874,50.6699523850655,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,120,15588.956251401303,55.88956251401302,-48.024150476882454,2596,84.51463790446842,0.5821402993622807,14.697969067519011,1.1080094609076356,17678.890147919657,5.612095531587057,3.0,64.0,2192,403,0,crash_2025_26,0.030000000000000002,p0,120.0
combo_sweep:full,1106.816760592126,1109.6488894471706,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,120,122030.3029360236,1120.303029360236,153.7360197256392,10274,84.73817403153592,0.5914347946623925,30.20155996185491,1.1132590212475324,339972.8448115055,4.759392641619622,2.0,120.0,8697,1575,1,full,0.030000000000000002,p0,120.0
combo_sweep:crash_2022,51.79302395542009,52.68937070359824,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,168,16011.352627075134,60.11352627075133,-72.26310681185907,2571,84.63632827693505,0.5858943910009135,21.050509710674635,1.130877454124578,15934.756244562255,3.967716841695838,2.0,56.0,2175,395,0,crash_2022,0.030000000000000002,p0,168.0
combo_sweep:crash_2025_26,50.95346599896874,50.6699523850655,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,168,15588.956251401303,55.88956251401302,-48.024150476882454,2596,84.51463790446842,0.5821402993622807,14.697969067519011,1.1080094609076356,17678.890147919657,5.612095531587057,3.0,64.0,2192,403,0,crash_2025_26,0.030000000000000002,p0,168.0
combo_sweep:full,1105.6913812196196,1108.557271981329,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,168,121922.58118943943,1119.2258118943944,153.7360197256392,10274,84.73817403153592,0.5913819577081729,30.20155996185496,1.1132050523592765,339789.11303343106,4.759392641619622,2.0,168.0,8697,1575,1,full,0.030000000000000002,p0,168.0
combo_sweep:crash_2022,51.79302395542009,52.68937070359824,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,336,16011.352627075134,60.11352627075133,-72.26310681185907,2571,84.63632827693505,0.5858943910009135,21.050509710674635,1.130877454124578,15934.756244562255,3.967716841695838,2.0,56.0,2175,395,0,crash_2022,0.030000000000000002,p0,336.0
combo_sweep:crash_2025_26,50.95346599896874,50.6699523850655,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,336,15588.956251401303,55.88956251401302,-48.024150476882454,2596,84.51463790446842,0.5821402993622807,14.697969067519011,1.1080094609076356,17678.890147919657,5.612095531587057,3.0,64.0,2192,403,0,crash_2025_26,0.030000000000000002,p0,336.0
combo_sweep:full,1106.9026470644228,1109.787956236554,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,0.030000000000000002,p0,336,122046.49007825335,1120.4649007825335,153.7360197256392,10273,84.74642266134528,0.5915003069141458,30.201559961854862,1.1132671265234206,339975.2924269129,4.7598559330283265,2.0,196.0,8697,1575,0,full,0.030000000000000002,p0,336.0
