entry_time,exit_time,p0,avg_entry,pnl,pnl_pct,hold_bars,reason,fills
2021-09-15 15:16:00+00:00,2021-09-15 22:43:00+00:00,3497.53,3497.53,44.779773028571526,0.022951024999999934,448,take_profit,1
2021-09-15 22:44:00+00:00,2021-09-16 04:24:00+00:00,3587.19,3583.6167921178003,49.77544867030474,0.022951025000000246,341,take_profit,2
2021-09-16 04:25:00+00:00,2021-10-01 17:00:00+00:00,3668.77,3203.2766591805525,404.36639378811014,0.0229510249999999,22236,take_profit,12
2021-10-01 17:01:00+00:00,2021-10-02 13:51:00+00:00,3264.05,3264.05,45.69583402617809,0.02295102499999993,1251,take_profit,1
2021-10-02 13:52:00+00:00,2021-10-02 16:43:00+00:00,3346.3,3342.9667431788653,50.793706336240575,0.022951024999999996,172,take_profit,2
2021-10-02 16:44:00+00:00,2021-10-05 10:14:00+00:00,3424.16,3381.3719927933867,91.09066494407398,0.022951024999999906,3931,take_profit,5
2021-10-05 10:15:00+00:00,2021-10-06 13:11:00+00:00,3465.38,3422.076911238478,91.42277551989991,0.022951025000000014,1617,take_profit,5
2021-10-06 13:12:00+00:00,2021-10-06 13:45:00+00:00,3506.16,3506.16,46.208106377219565,0.022951024999999833,34,take_profit,1
2021-10-06 13:46:00+00:00,2021-10-07 21:16:00+00:00,3601.79,3556.78234367649,91.92456866704879,0.02295102499999986,1891,take_profit,5
2021-10-07 21:17:00+00:00,2021-10-14 01:53:00+00:00,3647.48,3550.9820765055924,132.9690443170648,0.02295102499999984,8917,take_profit,7
2021-10-14 01:54:00+00:00,2021-10-14 11:20:00+00:00,3640.47,3640.47,46.70587136430822,0.022951024999999965,567,take_profit,1
2021-10-14 11:21:00+00:00,2021-10-15 02:55:00+00:00,3730.76,3730.76,46.79162717401459,0.02295102499999999,935,take_profit,1
2021-10-15 02:56:00+00:00,2021-10-15 20:27:00+00:00,3826.74,3810.7444514866343,62.2801608681857,0.022951024999999903,1052,take_profit,3
2021-10-15 20:28:00+00:00,2021-10-18 00:38:00+00:00,3894.28,3791.252722672696,134.48631925890004,0.022951025000000184,3131,take_profit,7
2021-10-18 00:39:00+00:00,2021-10-20 12:34:00+00:00,3882.61,3834.0932412444313,93.80279937827117,0.02295102499999991,3596,take_profit,5
2021-10-20 12:35:00+00:00,2021-10-20 14:29:00+00:00,3924.52,3924.5199999999995,47.411049462271876,0.022951024999999802,115,take_profit,1
2021-10-20 14:30:00+00:00,2021-10-20 18:57:00+00:00,4029.73,4029.7299999999996,47.49810003679113,0.022951025000000028,268,take_profit,1
2021-10-20 18:58:00+00:00,2021-10-21 01:10:00+00:00,4123.74,4119.632333477695,52.79703492042654,0.022951025000000035,373,take_profit,2
2021-10-21 01:11:00+00:00,2021-10-21 10:43:00+00:00,4222.04,4204.392120696632,63.34927517108463,0.022951024999999903,573,take_profit,3
2021-10-21 10:44:00+00:00,2021-10-26 00:21:00+00:00,4304.17,4133.904871785235,178.67558669149093,0.022951024999999948,6578,take_profit,8
2021-10-26 00:22:00+00:00,2021-10-27 04:37:00+00:00,4241.41,4188.409707476811,95.56573199065133,0.022951024999999705,1696,take_profit,5
2021-10-27 04:38:00+00:00,2021-10-28 17:23:00+00:00,4291.78,4122.004997625659,180.55782810043002,0.022951024999999757,2206,take_profit,8
2021-10-28 17:24:00+00:00,2021-10-29 00:46:00+00:00,4222.73,4205.079236537145,64.61322885896425,0.02295102499999972,443,take_profit,3
2021-10-29 00:47:00+00:00,2021-10-29 15:31:00+00:00,4326.28,4321.970582936336,54.09178026345808,0.022951025000000035,885,take_profit,2
2021-10-29 15:32:00+00:00,2021-11-02 09:48:00+00:00,4423.81,4306.773449029523,139.80852721607516,0.022951024999999365,5417,take_profit,7
2021-11-02 09:49:00+00:00,2021-11-02 20:09:00+00:00,4410.68,4410.68,49.10826517047872,0.02295102500000007,621,take_profit,1
2021-11-02 20:10:00+00:00,2021-11-03 00:59:00+00:00,4521.36,4521.36,49.198431972209164,0.02295102499999993,290,take_profit,1
2021-11-03 01:00:00+00:00,2021-11-07 14:41:00+00:00,4632.4,4509.844980974402,141.05974933750804,0.022951025000000062,6582,take_profit,7
2021-11-07 14:42:00+00:00,2021-11-08 03:16:00+00:00,4621.94,4617.336075357297,54.974421197445736,0.0229510249999998,755,take_profit,2
2021-11-08 03:17:00+00:00,2021-11-10 14:15:00+00:00,4735.59,4730.872868341273,55.08641380714289,0.022951024999999597,3539,take_profit,2
2021-11-10 14:16:00+00:00,2021-11-11 16:34:00+00:00,4849.97,4658.114017571852,185.96964864367783,0.022951024999999875,1579,take_profit,8
2021-11-11 16:35:00+00:00,2021-11-29 17:08:00+00:00,4775.54,4314.566556974732,362.8041143318351,0.022951024999999906,25954,take_profit,11
2021-11-29 17:09:00+00:00,2021-11-30 11:32:00+00:00,4421.58,4417.175654395843,56.316583686467766,0.022951024999999965,1104,take_profit,2
2021-11-30 11:33:00+00:00,2021-11-30 13:49:00+00:00,4527.97,4527.97,50.86083780620129,0.022951024999999882,137,take_profit,1
2021-11-30 13:50:00+00:00,2021-12-01 02:49:00+00:00,4638.19,4618.8026381308355,67.69632414536,0.022951024999999868,780,take_profit,3
2021-12-01 02:50:00+00:00,2021-12-05 12:41:00+00:00,4746.47,4144.238140984776,459.4634352547182,0.022951024999999948,6352,take_profit,12
2021-12-05 12:42:00+00:00,2021-12-06 21:22:00+00:00,4246.96,4134.602201968536,148.59619401541568,0.02295102500000014,1961,take_profit,7
2021-12-06 21:23:00+00:00,2021-12-06 21:50:00+00:00,4240.38,4240.38,52.19496581746125,0.02295102499999991,28,take_profit,1
2021-12-06 21:51:00+00:00,2021-12-08 14:47:00+00:00,4344.21,4311.95165659445,80.92623817987533,0.02295102499999963,2457,take_profit,4
2021-12-08 14:48:00+00:00,2022-01-21 22:47:00+00:00,4419.38,3519.881733918584,-8038.041544552067,-0.2814392800000001,63840,stop_loss,13
2022-01-21 22:48:00+00:00,2022-01-21 23:13:00+00:00,2542.63,2491.431656399127,91.33128518660124,0.022951025000000146,26,take_profit,6
2022-01-21 23:14:00+00:00,2022-01-22 00:02:00+00:00,2553.12,2553.12,37.848575597502986,0.02295102499999998,49,take_profit,1
2022-01-22 00:03:00+00:00,2022-01-25 17:44:00+00:00,2597.72,2425.7800211033646,208.18825330868276,0.022951025000000003,5382,take_profit,10
2022-01-25 17:45:00+00:00,2022-01-26 09:22:00+00:00,2487.91,2456.8212918177287,76.05349136092627,0.022951024999999865,938,take_profit,5
2022-01-26 09:23:00+00:00,2022-01-26 13:24:00+00:00,2512.6,2510.0971935902985,42.65005067620109,0.022951024999999844,242,take_profit,2
2022-01-26 13:25:00+00:00,2022-01-26 14:14:00+00:00,2584.52,2584.52,38.51826882726505,0.022951024999999816,50,take_profit,1
2022-01-26 14:15:00+00:00,2022-01-26 19:02:00+00:00,2650.84,2617.7153326294397,76.62671174712705,0.022951024999999948,288,take_profit,5
2022-01-26 19:03:00+00:00,2022-01-29 00:11:00+00:00,2693.77,2515.472586517258,212.6444103565318,0.022951024999999806,3189,take_profit,10
2022-01-29 00:12:00+00:00,2022-01-29 20:30:00+00:00,2574.94,2564.1769019873304,51.97386976543203,0.022951024999999976,1219,take_profit,3
